asn,prefix,as_path
52945,1.2.0.0/16,262676 6939 13536 5738 10753 1 1
52717,1.2.0.0/16,262668 52720 6939 13536 5738 10753 1 1
52621,1.2.0.0/16,262659 6939 13536 5738 10753 1 1
264115,1.2.0.0/16,262631 26615 3549 10753 1 1
263375,1.2.0.0/16,262631 26615 3549 10753 1 1
262326,1.2.0.0/16,262631 26615 3549 10753 1 1
61912,1.2.0.0/16,262631 26615 3549 10753 1 1
52808,1.2.0.0/16,262631 26615 3549 10753 1 1
264278,1.2.0.0/16,262606 28250 6939 13536 5738 10753 1 1
263594,1.2.0.0/16,262606 28250 6939 13536 5738 10753 1 1
52879,1.2.0.0/16,263423 26615 3549 10753 1 1
265432,1.2.0.0/16,262589 3549 10753 1 1
264142,1.2.0.0/16,262589 3549 10753 1 1
263583,1.2.0.0/16,262589 3549 10753 1 1
263081,1.2.0.0/16,262589 3549 10753 1 1
262543,1.2.0.0/16,262589 3549 10753 1 1
61940,1.2.0.0/16,262589 3549 10753 1 1
61869,1.2.0.0/16,262589 3549 10753 1 1
61826,1.2.0.0/16,262589 3549 10753 1 1
61722,1.2.0.0/16,262589 3549 10753 1 1
61686,1.2.0.0/16,262589 3549 10753 1 1
53232,1.2.0.0/16,262589 3549 10753 1 1
53113,1.2.0.0/16,262589 3549 10753 1 1
52948,1.2.0.0/16,262589 3549 10753 1 1
27697,1.2.0.0/16,262589 3549 10753 1 1
264201,1.2.0.0/16,262581 52965 3549 10753 1 1
264544,1.2.0.0/16,262561 6939 13536 5738 10753 1 1
52899,1.2.0.0/16,262561 6939 13536 5738 10753 1 1
52876,1.2.0.0/16,262561 6939 13536 5738 10753 1 1
265457,1.2.0.0/16,263276 26615 3549 10753 1 1
61831,1.2.0.0/16,262537 61832 6939 13536 5738 10753 1 1
264585,1.2.0.0/16,262535 10429 3549 10753 1 1
265363,1.2.0.0/16,262526 6939 13536 5738 10753 1 1
61933,1.2.0.0/16,262526 6939 13536 5738 10753 1 1
52654,1.2.0.0/16,262526 6939 13536 5738 10753 1 1
52642,1.2.0.0/16,262526 6939 13536 5738 10753 1 1
265228,1.2.0.0/16,262517 6939 13536 5738 10753 1 1
264945,1.2.0.0/16,262509 6939 13536 5738 10753 1 1
264987,1.2.0.0/16,262505 6939 13536 5738 10753 1 1
61775,1.2.0.0/16,262505 6939 13536 5738 10753 1 1
61718,1.2.0.0/16,262505 6939 13536 5738 10753 1 1
263430,1.2.0.0/16,262503 6939 13536 5738 10753 1 1
265139,1.2.0.0/16,262494 28368 6939 13536 5738 10753 1 1
264373,1.2.0.0/16,262494 28368 6939 13536 5738 10753 1 1
264366,1.2.0.0/16,262494 28368 6939 13536 5738 10753 1 1
263935,1.2.0.0/16,265269 3549 10753 1 1
61675,1.2.0.0/16,262494 28368 6939 13536 5738 10753 1 1
262826,1.2.0.0/16,262476 6939 13536 5738 10753 1 1
61934,1.2.0.0/16,262476 6939 13536 5738 10753 1 1
264528,1.2.0.0/16,262468 6939 13536 5738 10753 1 1
263163,1.2.0.0/16,262468 6939 13536 5738 10753 1 1
265309,1.2.0.0/16,262462 6939 13536 5738 10753 1 1
264582,1.2.0.0/16,262461 61942 6939 13536 5738 10753 1 1
61582,1.2.0.0/16,263363 26592 6939 13536 5738 10753 1 1
53244,1.2.0.0/16,262446 6939 13536 5738 10753 1 1
265298,1.2.0.0/16,262425 52940 6939 13536 5738 10753 1 1
61757,1.2.0.0/16,263340 28329 6939 13536 5738 10753 1 1
28240,1.2.0.0/16,262394 16735 4809 15412 15802 57187 43531 5738 10753 1 1
61736,1.2.0.0/16,262378 10429 3549 10753 1 1
52673,1.2.0.0/16,262375 6939 13536 5738 10753 1 1
52538,1.2.0.0/16,262355 6939 13536 5738 10753 1 1
263002,1.2.0.0/16,262354 6939 13536 5738 10753 1 1
265040,1.2.0.0/16,262342 26615 3549 10753 1 1
61723,1.2.0.0/16,262342 26615 3549 10753 1 1
264302,1.2.0.0/16,262304 6939 13536 5738 10753 1 1
262487,1.2.0.0/16,262721 262760 6939 13536 5738 10753 1 1
264584,1.2.0.0/16,262274 28368 6939 13536 5738 10753 1 1
263772,1.2.0.0/16,262248 3549 10753 1 1
52476,1.2.0.0/16,263248 23520 3549 10753 1 1
61444,1.2.0.0/16,262237 6429 6453 25418 1 1
52446,1.2.0.0/16,262218 3549 10753 1 1
52501,1.2.0.0/16,262206 6939 13536 5738 10753 1 1
27773,1.2.0.0/16,262206 6939 13536 5738 10753 1 1
17079,1.2.0.0/16,262206 6939 13536 5738 10753 1 1
61502,1.2.0.0/16,262199 23520 3549 10753 1 1
